xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s] dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm] Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm] Ride_AxleFront[mm] Ride_AxleRear[mm] SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg] slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct] AeroBalance[pct] Cx[none] pbrake_f[bar] pbrake_r[bar] Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN] vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h] acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g] Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN] roll[deg] aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm] damper_force_FC[kN] damper_force_RC[kN] dam_3rd_front[mm] dam_3rd_rear[mm] CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg] ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg] CLA[m2] Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN] Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN] 
0.000 0.000 304.773 6771.048 7.000 0.096 -0.105 -0.004 -0.249 0.762 15.357 14.298 20.809 19.698 19.196 17.873 26.011 24.623 36.485 43.358 0.061 -0.226 0.020 -0.204 -0.079 -0.012 -0.013 0.789 0.815 45.324 1.040 0.003 0.002 4.632 4.218 9.516 9.038 304.775 304.694 307.216 307.217 1.101 1.150 0.747 0.786 5717.699 5430.797 7307.393 7064.818 -0.065 99.911 759.826 1035.428 1031.560 2.166 3.434 10.146 6.295 -2.842 -2.938 -2.882 -2.973 -0.125 0.163 -0.112 0.112 3.713 -0.033 -0.032 2.811 2.788 0.439 0.072 1.187 -0.513
0.056 4.741 305.027 6776.544 7.000 0.128 -0.102 -0.000 -0.088 0.609 15.369 14.312 20.819 19.713 19.211 17.890 26.024 24.642 36.453 43.332 0.071 -0.216 0.022 -0.201 -0.080 -0.012 -0.013 0.790 0.812 45.337 1.039 0.003 0.002 5.286 4.928 10.282 9.889 305.021 304.954 307.468 307.471 0.005 0.003 -0.002 -0.004 6154.483 5903.851 7644.555 7438.778 -0.064 99.999 760.131 1048.110 1040.879 2.175 3.446 10.166 6.306 -2.842 -2.938 -2.883 -2.972 -0.138 0.149 -0.112 0.112 3.713 -0.035 -0.035 2.965 2.945 0.548 -0.075 1.330 -0.667
0.168 14.222 305.528 6787.372 7.000 0.126 -0.079 -0.000 -0.039 0.342 15.303 14.430 20.748 19.834 19.129 18.038 25.935 24.792 36.391 43.281 0.086 -0.202 0.043 -0.181 -0.063 -0.012 -0.013 0.792 0.805 45.361 1.039 0.003 0.002 5.267 4.991 10.259 9.965 305.508 305.470 307.966 307.969 -0.001 -0.001 0.001 0.001 6141.285 5947.171 7630.998 7475.985 -0.052 99.997 759.388 1048.295 1038.687 2.193 3.470 10.205 6.330 -2.852 -2.929 -2.893 -2.964 -0.142 0.146 -0.112 0.112 3.713 -0.035 -0.035 2.966 2.939 0.504 -0.126 1.257 -0.749
0.224 18.962 305.776 6792.729 7.000 0.125 -0.071 -0.000 -0.127 0.322 15.264 14.496 20.707 19.899 19.080 18.120 25.884 24.874 36.360 43.256 0.088 -0.200 0.053 -0.171 -0.054 -0.012 -0.012 0.791 0.803 45.373 1.039 0.003 0.002 5.263 5.017 10.258 9.994 305.754 305.719 308.212 308.215 -0.004 -0.002 0.002 0.004 6138.014 5965.533 7628.352 7490.250 -0.046 99.985 758.933 1046.814 1038.929 2.202 3.482 10.224 6.341 -2.858 -2.925 -2.898 -2.961 -0.135 0.153 -0.112 0.112 3.714 -0.036 -0.035 2.962 2.940 0.499 -0.135 1.224 -0.787
0.279 23.698 306.022 6798.060 7.000 0.125 -0.062 -0.000 -0.057 0.301 15.237 14.549 20.677 19.954 19.046 18.186 25.846 24.942 36.330 43.231 0.098 -0.190 0.059 -0.165 -0.048 -0.012 -0.013 0.791 0.802 45.385 1.039 0.003 0.002 5.260 5.042 10.254 10.023 305.999 305.966 308.457 308.459 0.001 0.001 -0.000 -0.000 6135.696 5982.666 7625.832 7504.377 -0.041 99.999 758.675 1045.664 1039.381 2.211 3.494 10.244 6.352 -2.861 -2.922 -2.901 -2.958 -0.140 0.147 -0.112 0.112 3.714 -0.035 -0.035 2.959 2.941 0.467 -0.170 1.204 -0.812
0.391 33.168 306.508 6808.596 7.000 0.123 -0.045 -0.000 -0.030 0.196 15.173 14.664 20.607 20.072 18.967 18.329 25.759 25.090 36.269 43.181 0.110 -0.178 0.073 -0.151 -0.036 -0.012 -0.012 0.790 0.798 45.409 1.039 0.003 0.002 5.252 5.094 10.248 10.083 306.480 306.459 308.941 308.943 -0.002 -0.001 0.001 0.002 6129.272 6018.552 7620.192 7532.967 -0.030 99.996 757.923 1044.121 1038.891 2.228 3.518 10.282 6.375 -2.870 -2.915 -2.910 -2.951 -0.142 0.146 -0.112 0.112 3.714 -0.035 -0.035 2.954 2.940 0.432 -0.214 1.157 -0.869
0.446 37.903 306.749 6813.801 7.000 0.122 -0.042 -0.000 -0.089 0.196 15.153 14.709 20.585 20.118 18.941 18.387 25.731 25.147 36.238 43.157 0.111 -0.177 0.078 -0.146 -0.031 -0.012 -0.012 0.789 0.796 45.421 1.039 0.003 0.002 5.255 5.113 10.254 10.102 306.721 306.699 309.180 309.181 -0.004 -0.002 0.002 0.003 6131.176 6031.397 7622.168 7542.249 -0.026 99.984 757.464 1042.966 1038.802 2.237 3.530 10.301 6.386 -2.873 -2.912 -2.913 -2.949 -0.137 0.151 -0.112 0.112 3.714 -0.035 -0.035 2.951 2.940 0.433 -0.217 1.142 -0.890
0.502 42.632 306.987 6818.975 7.000 0.121 -0.034 -0.000 -0.002 0.157 15.142 14.746 20.571 20.156 18.927 18.432 25.713 25.195 36.209 43.133 0.120 -0.168 0.082 -0.142 -0.028 -0.012 -0.012 0.789 0.795 45.433 1.039 0.003 0.002 5.256 5.133 10.255 10.126 306.957 306.940 309.417 309.418 0.001 0.001 -0.000 -0.001 6131.770 6045.271 7621.858 7553.845 -0.023 99.999 757.209 1042.477 1038.600 2.246 3.541 10.320 6.397 -2.876 -2.911 -2.915 -2.947 -0.144 0.144 -0.112 0.112 3.715 -0.035 -0.035 2.950 2.939 0.407 -0.248 1.131 -0.906
0.613 52.089 307.459 6829.198 7.000 0.120 -0.021 -0.000 0.022 0.048 15.099 14.839 20.523 20.250 18.874 18.548 25.653 25.313 36.149 43.084 0.129 -0.159 0.093 -0.131 -0.018 -0.012 -0.012 0.789 0.791 45.457 1.038 0.003 0.002 5.253 5.179 10.253 10.179 307.423 307.417 309.886 309.887 -0.001 -0.001 0.001 0.001 6129.079 6076.753 7618.828 7579.146 -0.015 99.996 756.459 1041.446 1037.605 2.263 3.564 10.357 6.418 -2.882 -2.905 -2.922 -2.942 -0.146 0.142 -0.112 0.112 3.715 -0.035 -0.035 2.947 2.936 0.380 -0.282 1.093 -0.954
0.668 56.818 307.692 6834.246 7.000 0.119 -0.018 -0.000 -0.028 0.045 15.083 14.879 20.506 20.290 18.854 18.599 25.632 25.363 36.119 43.061 0.130 -0.159 0.098 -0.126 -0.014 -0.012 -0.012 0.788 0.790 45.468 1.038 0.003 0.002 5.257 5.196 10.260 10.198 307.656 307.651 310.117 310.119 -0.003 -0.001 0.001 0.003 6131.374 6088.874 7620.823 7588.064 -0.012 99.983 755.999 1040.388 1037.415 2.272 3.575 10.376 6.429 -2.885 -2.903 -2.924 -2.941 -0.142 0.146 -0.112 0.112 3.715 -0.035 -0.034 2.944 2.936 0.381 -0.286 1.079 -0.974
