xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s] dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm] Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm] Ride_AxleFront[mm] Ride_AxleRear[mm] SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg] slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct] AeroBalance[pct] Cx[none] pbrake_f[bar] pbrake_r[bar] Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN] vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h] acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g] Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN] roll[deg] aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm] damper_force_FC[kN] damper_force_RC[kN] dam_3rd_front[mm] dam_3rd_rear[mm] CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg] ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg] CLA[m2] Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN] Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN] 
0.000 0.000 239.732 6923.126 5.000 0.341 0.129 -0.005 0.765 -1.196 9.145 10.265 14.362 15.606 11.431 12.832 17.952 19.507 44.034 49.265 0.279 0.013 0.253 0.027 0.115 -0.032 -0.030 1.340 1.285 42.515 1.063 0.003 0.002 1.429 1.975 5.488 6.083 239.592 239.722 242.883 242.875 1.485 1.427 1.128 1.086 3541.242 3914.709 5511.023 5815.125 0.075 99.986 749.428 1284.764 1303.828 0.271 0.001 2.485 -2.212 -2.804 -2.699 -2.803 -2.696 -0.194 0.071 -0.112 0.113 3.647 -0.050 -0.052 3.376 3.456 -0.453 -0.167 -0.147 -0.688
0.017 1.132 239.973 6929.910 5.000 0.403 0.141 -0.001 0.782 -1.215 9.157 10.283 14.392 15.643 11.446 12.853 17.990 19.554 44.007 49.216 0.280 0.015 0.254 0.028 0.116 -0.032 -0.030 1.339 1.283 42.520 1.063 0.003 0.002 2.357 2.858 6.636 7.168 239.832 239.964 243.122 243.115 0.002 0.001 0.001 0.000 4156.137 4502.052 6013.343 6292.574 0.075 100.000 749.017 1314.358 1333.210 0.274 0.001 2.507 -2.180 -2.805 -2.699 -2.805 -2.697 -0.196 0.069 -0.112 0.113 3.647 -0.059 -0.061 3.712 3.765 -0.424 -0.290 -0.035 -0.847
0.052 3.467 240.470 6943.869 5.000 0.401 0.144 -0.001 0.827 -1.261 9.180 10.321 14.453 15.721 11.475 12.901 18.066 19.652 43.953 49.115 0.284 0.018 0.256 0.030 0.117 -0.031 -0.030 1.335 1.278 42.530 1.062 0.003 0.002 2.367 2.877 6.652 7.195 240.327 240.463 243.615 243.608 0.002 0.002 0.000 -0.000 4162.826 4514.668 6020.062 6304.465 0.077 99.998 747.957 1312.829 1331.048 0.281 0.001 2.553 -2.115 -2.807 -2.699 -2.808 -2.699 -0.200 0.066 -0.112 0.113 3.646 -0.059 -0.061 3.707 3.759 -0.431 -0.301 -0.038 -0.858
0.070 4.670 240.724 6951.011 5.000 0.400 0.146 -0.001 0.854 -1.290 9.190 10.341 14.482 15.763 11.488 12.927 18.103 19.704 43.925 49.063 0.286 0.020 0.257 0.031 0.117 -0.031 -0.030 1.333 1.275 42.535 1.062 0.003 0.002 2.371 2.887 6.660 7.209 240.580 240.719 243.867 243.860 0.003 0.002 0.000 -0.001 4165.776 4521.615 6023.070 6310.998 0.077 99.989 747.358 1311.937 1329.853 0.285 0.001 2.576 -2.082 -2.807 -2.699 -2.810 -2.699 -0.202 0.064 -0.112 0.113 3.646 -0.058 -0.061 3.705 3.755 -0.436 -0.308 -0.041 -0.865
0.089 5.951 240.995 6958.621 5.000 0.399 0.149 -0.001 0.888 -1.324 9.201 10.364 14.513 15.808 11.501 12.955 18.141 19.760 43.895 49.008 0.289 0.023 0.259 0.033 0.119 -0.031 -0.030 1.332 1.272 42.541 1.062 0.003 0.002 2.375 2.898 6.666 7.226 240.849 240.992 244.136 244.129 0.004 0.003 -0.000 -0.002 4168.401 4529.550 6025.733 6318.468 0.078 100.000 746.885 1311.201 1328.911 0.289 0.001 2.601 -2.047 -2.808 -2.699 -2.812 -2.700 -0.205 0.061 -0.113 0.113 3.645 -0.058 -0.061 3.703 3.753 -0.443 -0.317 -0.045 -0.873
0.128 8.554 241.541 6973.974 5.000 0.397 0.155 -0.001 0.980 -1.414 9.215 10.417 14.567 15.906 11.519 13.021 18.209 19.883 43.835 48.897 0.298 0.032 0.264 0.038 0.122 -0.031 -0.029 1.329 1.266 42.552 1.062 0.003 0.002 2.379 2.926 6.675 7.263 241.390 241.542 244.678 244.671 0.004 0.003 -0.000 -0.002 4171.164 4548.043 6028.946 6335.801 0.081 99.998 745.764 1309.369 1326.833 0.297 0.001 2.651 -1.975 -2.811 -2.698 -2.817 -2.700 -0.213 0.053 -0.113 0.113 3.645 -0.058 -0.061 3.698 3.747 -0.462 -0.341 -0.058 -0.895
0.148 9.867 241.814 6981.671 5.000 0.396 0.160 -0.001 1.031 -1.470 9.220 10.446 14.591 15.959 11.524 13.057 18.239 19.949 43.804 48.842 0.303 0.037 0.268 0.041 0.124 -0.031 -0.029 1.328 1.262 42.557 1.061 0.003 0.002 2.380 2.941 6.678 7.284 241.661 241.819 244.950 244.943 0.004 0.003 -0.000 -0.002 4171.445 4558.457 6029.646 6345.414 0.083 99.989 745.149 1308.348 1325.708 0.301 0.001 2.676 -1.939 -2.813 -2.698 -2.820 -2.700 -0.217 0.049 -0.113 0.113 3.644 -0.058 -0.061 3.695 3.744 -0.473 -0.356 -0.067 -0.908
0.168 11.254 242.103 6989.794 5.000 0.395 0.165 -0.001 1.101 -1.539 9.221 10.480 14.614 16.018 11.527 13.099 18.267 20.022 43.772 48.783 0.310 0.043 0.272 0.046 0.127 -0.031 -0.029 1.327 1.259 42.563 1.061 0.003 0.002 2.379 2.958 6.680 7.307 241.946 242.111 245.237 245.230 0.005 0.003 -0.000 -0.002 4170.952 4570.256 6029.665 6356.251 0.086 100.000 744.649 1307.540 1324.747 0.305 0.001 2.703 -1.902 -2.814 -2.697 -2.823 -2.700 -0.223 0.044 -0.113 0.113 3.644 -0.058 -0.061 3.693 3.741 -0.488 -0.374 -0.078 -0.925
0.209 14.031 242.676 7005.932 5.000 0.393 0.177 -0.001 1.224 -1.699 9.217 10.555 14.648 16.144 11.521 13.194 18.310 20.180 43.709 48.666 0.324 0.057 0.283 0.056 0.134 -0.031 -0.029 1.326 1.251 42.575 1.061 0.003 0.002 2.373 2.996 6.679 7.357 242.512 242.693 245.807 245.800 0.004 0.002 0.000 -0.001 4167.299 4596.318 6027.775 6379.797 0.092 99.998 743.488 1305.642 1322.596 0.314 0.002 2.755 -1.827 -2.819 -2.694 -2.830 -2.698 -0.233 0.034 -0.113 0.113 3.643 -0.057 -0.061 3.687 3.735 -0.518 -0.413 -0.108 -0.966
0.230 15.420 242.961 7013.952 5.000 0.392 0.184 -0.001 1.279 -1.785 9.210 10.596 14.661 16.211 11.513 13.245 18.327 20.264 43.678 48.608 0.331 0.064 0.289 0.063 0.139 -0.031 -0.029 1.326 1.247 42.581 1.061 0.003 0.002 2.370 3.016 6.678 7.383 242.792 242.983 246.090 246.083 0.003 0.002 0.000 -0.001 4164.558 4610.246 6026.145 6392.192 0.095 99.990 742.852 1304.557 1321.463 0.318 0.002 2.782 -1.789 -2.822 -2.692 -2.834 -2.697 -0.237 0.029 -0.113 0.113 3.643 -0.057 -0.060 3.684 3.732 -0.533 -0.432 -0.126 -0.989
0.252 16.889 243.262 7022.413 5.000 0.391 0.192 -0.001 1.341 -1.879 9.201 10.642 14.673 16.284 11.502 13.303 18.341 20.355 43.644 48.547 0.339 0.072 0.297 0.070 0.145 -0.031 -0.029 1.325 1.243 42.588 1.061 0.003 0.002 2.365 3.039 6.675 7.411 243.088 243.288 246.389 246.382 0.004 0.002 0.000 -0.001 4161.094 4625.540 6023.920 6405.735 0.099 100.000 742.319 1303.596 1320.539 0.322 0.002 2.809 -1.750 -2.825 -2.690 -2.838 -2.696 -0.243 0.024 -0.113 0.113 3.642 -0.057 -0.060 3.682 3.729 -0.551 -0.456 -0.147 -1.017
0.295 19.835 243.860 7039.272 5.000 0.389 0.209 -0.001 1.438 -2.064 9.176 10.741 14.687 16.436 11.471 13.427 18.359 20.546 43.577 48.425 0.355 0.088 0.313 0.087 0.158 -0.030 -0.029 1.325 1.234 42.601 1.060 0.003 0.002 2.352 3.086 6.668 7.469 243.676 243.897 246.984 246.977 0.003 0.002 0.001 -0.000 4152.236 4657.991 6018.092 6434.180 0.108 99.999 741.073 1301.070 1318.723 0.331 0.002 2.865 -1.672 -2.832 -2.685 -2.847 -2.692 -0.251 0.017 -0.113 0.113 3.641 -0.057 -0.060 3.675 3.724 -0.587 -0.503 -0.194 -1.077
0.317 21.312 244.159 7047.664 5.000 0.388 0.218 -0.001 1.478 -2.152 9.161 10.794 14.692 16.515 11.452 13.492 18.365 20.644 43.544 48.365 0.364 0.096 0.322 0.095 0.165 -0.030 -0.028 1.324 1.230 42.607 1.060 0.003 0.002 2.345 3.110 6.663 7.499 243.970 244.200 247.281 247.273 0.002 0.002 0.001 0.000 4147.285 4674.770 6014.796 6448.724 0.112 99.990 740.387 1299.559 1317.841 0.336 0.002 2.893 -1.633 -2.836 -2.682 -2.852 -2.690 -0.254 0.014 -0.113 0.113 3.641 -0.056 -0.060 3.670 3.721 -0.604 -0.526 -0.219 -1.110
