Curvature,slap,ApproxSLap,GripFactor
0.000234765,0,0,1.000
0.000243774,1.000154404,1,1.000
0.000249241,2.000308809,2,1.000
0.000254704,3.000463213,3,1.000
0.000259095,4.000617617,4,1.000
0.000262666,5.000772022,5,1.000
0.000265034,6.000926426,6,1.000
0.000267017,7.00108083,7,1.000
0.000268439,8.001235234,8,1.000
0.000268881,9.001389639,9,1.000
0.00026852,10.00154404,10,1.000
0.00026708,11.00169845,11,1.000
0.00026564,12.00185285,12,1.000
0.000263618,13.00200726,13,1.000
0.00026096,14.00216166,14,1.000
0.000257825,15.00231606,15,1.000
0.000254196,16.00247047,16,1.000
0.000250566,17.00262487,17,1.000
0.000246749,18.00277928,18,1.000
0.000242691,19.00293368,19,1.000
0.000238469,20.00308809,20,1.000
0.000234288,21.00324249,21,1.000
0.000230117,22.00339689,22,1.000
0.000225952,23.0035513,23,1.000
0.000221877,24.0037057,24,1.000
0.000217893,25.00386011,25,1.000
0.000214033,26.00401451,26,1.000
0.000210414,27.00416892,27,1.000
0.000206796,28.00432332,28,1.000
0.000203285,29.00447772,29,1.000
0.00019995,30.00463213,30,1.000
0.000196857,31.00478653,31,1.000
0.000193873,32.00494094,32,1.000
0.000191018,33.00509534,33,1.000
0.000188163,34.00524975,34,1.000
0.000185376,35.00540415,35,1.000
0.000182699,36.00555855,36,1.000
0.000180099,37.00571296,37,1.000
0.000177504,38.00586736,38,1.000
0.00017489,39.00602177,39,1.000
0.000172275,40.00617617,40,1.000
0.000169658,41.00633058,41,1.000
0.000167,42.00648498,42,1.000
0.00016427,43.00663939,43,1.000
0.000161456,44.00679379,44,1.000
0.000158601,45.00694819,45,1.000
0.000155735,46.0071026,46,1.000
0.000152868,47.007257,47,1.000
0.000149985,48.00741141,48,1.000
0.000147076,49.00756581,49,1.000
0.00014412,50.00772022,50,1.000
0.000141144,51.00787462,51,1.000
0.000138315,52.00802902,52,1.000
0.0001355,53.00818343,53,1.000
0.000132685,54.00833783,54,1.000
0.000129925,55.00849224,55,1.000
0.000127277,56.00864664,56,1.000
0.000124687,57.00880105,57,1.000
0.000122147,58.00895545,58,1.000
0.000119841,59.00910985,59,1.000
0.000117667,60.00926426,60,1.000
0.000115492,61.00941866,61,1.000
0.000113318,62.00957307,62,1.000
0.000111411,63.00972747,63,1.000
0.000109552,64.00988188,64,1.000
0.000107929,65.01003628,65,1.000
0.000106318,66.01019068,66,1.000
0.000105005,67.01034509,67,1.000
0.000103709,68.01049949,68,1.000
0.000102413,69.0106539,69,1.000
0.000101117,70.0108083,70,1.000
0.000100047,71.01096271,71,1.000
9.8994E-05,72.01111711,72,1.000
9.80586E-05,73.01127151,73,1.000
9.71337E-05,74.01142592,74,1.000
9.62457E-05,75.01158032,75,1.000
9.5368E-05,76.01173473,76,1.000
9.44902E-05,77.01188913,77,1.000
9.36124E-05,78.01204354,78,1.000
9.27383E-05,79.01219794,79,1.000
9.18678E-05,80.01235234,80,1.000
9.09584E-05,81.01250675,81,1.000
