X,Y,GripFactor
0,0,1
0.999999963,0.000259829,1
1.999999826,0.000779155,1
2.99999952,0.001557482,1
3.99999898,0.002594165,1
4.99999814,0.003888421,1
5.999996934,0.005439341,1
6.9999953,0.007245906,1
7.999993173,0.009307007,1
8.999990492,0.011621453,1
9.999987196,0.014187984,1
10.99998322,0.017005286,1
11.99997852,0.020071998,1
12.99997302,0.023386726,1
13.99996668,0.02694805,1
14.99995943,0.030754524,1
15.99995123,0.03480499,1
16.99994201,0.039097881,1
17.99993173,0.043631353,1
18.99992034,0.048403282,1
19.9999078,0.053411304,1
20.99989406,0.058652843,1
21.99987909,0.064125152,1
22.99986284,0.069825336,1
23.99984528,0.075750362,1
24.99982639,0.081897097,1
25.99980613,0.088262333,1
26.99978447,0.094842823,1
27.9997614,0.101635277,1
28.99973689,0.108636384,1
29.99971093,0.115842828,1
30.99968348,0.1232513,1
31.99965454,0.130858518,1
32.9996241,0.138661225,1
33.99959214,0.146656197,1
34.99955865,0.154840244,1
35.99952362,0.163210223,1
36.99948704,0.171763029,1
37.99944891,0.1804956,1
38.99940922,0.189404922,1
39.99936797,0.198488021,1
40.99932515,0.207741966,1
41.99928076,0.217163864,1
42.9992348,0.226750857,1
43.99918727,0.236500124,1
44.99913818,0.246408883,1
45.99908752,0.256474391,1
46.9990353,0.266693937,1
47.99898152,0.277064833,1
48.99892618,0.287584428,1
49.9988693,0.298250101,1
50.99881088,0.309059269,1
51.99875093,0.320009387,1
52.99868945,0.331097952,1
53.99862645,0.342322504,1
54.99856194,0.353680626,1
55.99849594,0.365169947,1
56.99842844,0.376788147,1
57.99835947,0.388532958,1
58.99828903,0.400402174,1
59.99821713,0.412393649,1
60.99814378,0.424505307,1
61.99806899,0.436735134,1
62.99799277,0.449081185,1
63.99791514,0.46154158,1
64.9978361,0.474114508,1
65.99775565,0.486798228,1
66.99767382,0.499591066,1
67.99759061,0.512491412,1
68.99750602,0.525497716,1
69.99742007,0.538608486,1
70.99733276,0.551822288,1
71.99724411,0.565137741,1
72.99715411,0.578553513,1
73.99706278,0.592068323,1
74.99697013,0.605680928,1
75.99687615,0.619390118,1
76.99678086,0.633194713,1
77.99668427,0.647093565,1
78.99658638,0.661085546,1
79.99648719,0.675169551,1
80.99638672,0.689344486,1
81.99628497,0.703609272,1
82.99618196,0.717962832,1
83.99607768,0.732404093,1
84.99597214,0.746931989,1
85.99586536,0.761545454,1
86.99575734,0.776243424,1
87.99564808,0.791024827,1
88.99553761,0.805888595,1
89.99542593,0.820833657,1
90.99531304,0.835858939,1
91.99519896,0.850963366,1
92.9950837,0.866145861,1
93.99496727,0.881405351,1
94.99484968,0.896740767,1
95.99473093,0.912151044,1
96.99461104,0.927635126,1
97.99449003,0.943191963,1
98.9943679,0.958820521,1
99.99424465,0.974519784,1
100.9941203,0.990288752,1
101.9939949,1.006126444,1
102.9938684,1.022031895,1
103.9937408,1.038004162,1
104.9936122,1.054042327,1
105.9934825,1.070145493,1
106.9933518,1.086312797,1
107.9932201,1.102543399,1
108.9930874,1.118836486,1
109.9929536,1.135191273,1
110.9928189,1.151606999,1
111.9926831,1.168082931,1
112.9925464,1.184618362,1
113.9924087,1.201212609,1
114.9922701,1.217865014,1
115.9921304,1.234574942,1
116.9919899,1.251341787,1
117.9918484,1.268164962,1
118.9917059,1.285043894,1
119.9915625,1.30197802,1
120.9914182,1.318966792,1
121.9912729,1.336009669,1
122.9911268,1.353106124,1
123.9909797,1.370255633,1
124.9908318,1.38745768,1
125.9906829,1.404711751,1
126.9905331,1.422017336,1
127.9903825,1.439373927,1
128.990231,1.456781021,1
129.9900786,1.474238109,1
130.9899254,1.491744676,1
131.9897712,1.509300197,1
132.9896163,1.526904141,1
133.9894605,1.544555966,1
134.9893038,1.562255124,1
135.9891464,1.580001058,1
136.9889881,1.597793202,1
137.988829,1.615630983,1
138.988669,1.633513821,1
139.9885083,1.651441132,1
140.9883468,1.669412328,1
141.9881846,1.687426817,1
142.9880215,1.705484004,1
143.9878577,1.723583286,1
144.9876932,1.741724049,1
145.9875279,1.75990567,1
146.9873618,1.778127522,1
147.9871951,1.796388975,1
148.9870276,1.814689403,1
149.9868594,1.833028183,1
150.9866906,1.851404699,1
