xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN] 
0.000 0.000 204.400 6978.215 4.000 0.470 -0.000 -0.006 -0.023 -0.020 -6.486 -6.484 -16.776 -16.774 8.142 8.145 11.530 11.533 54.648 57.281 0.201 -0.205 -0.127 0.129 0.000 -0.049 -0.049 1.678 1.677 40.017 1.098 0.014 0.014 0.560 0.562 4.797 4.797 204.298 204.300 207.829 207.830 1.713 1.705 1.244 1.236 3041.156 3041.992 5227.455 5227.873 0.000 99.994 744.717 1510.428 1509.835 0.002 0.215 -3.285 1.982 -2.857 -2.856 -2.577 -2.577 -0.201 0.205 0.128 -0.128 3.800 -0.065 -0.065 3.903 3.901 -0.342 0.349 0.508 -0.512
0.076 4.358 205.877 7027.131 4.000 0.544 -0.002 -0.001 -0.016 0.025 -6.305 -6.321 -16.640 -16.658 8.369 8.348 11.699 11.678 54.386 57.073 0.201 -0.205 -0.130 0.125 -0.002 -0.048 -0.048 1.659 1.660 40.099 1.098 0.014 0.014 1.656 1.648 6.212 6.203 205.778 205.775 209.293 209.293 0.002 0.002 0.001 0.001 3755.178 3749.867 5814.304 5809.735 -0.001 100.002 741.281 1556.039 1555.803 0.002 0.238 -3.028 2.100 -2.860 -2.862 -2.580 -2.582 -0.201 0.204 0.128 -0.128 3.803 -0.080 -0.080 4.338 4.337 -0.361 0.370 0.616 -0.603
0.228 13.073 208.753 7122.221 4.000 0.532 0.002 -0.001 0.053 -0.048 -5.977 -5.966 -16.417 -16.403 8.778 8.792 11.979 11.996 53.863 56.678 0.207 -0.199 -0.124 0.128 0.001 -0.047 -0.047 1.623 1.620 40.265 1.097 0.014 0.014 1.733 1.742 6.326 6.338 208.652 208.657 212.139 212.139 0.001 0.001 0.002 0.002 3807.463 3813.594 5860.767 5866.199 0.001 100.001 733.524 1540.000 1539.645 0.002 0.286 -2.518 2.326 -2.870 -2.869 -2.590 -2.589 -0.207 0.198 0.127 -0.127 3.808 -0.079 -0.079 4.293 4.292 -0.373 0.358 0.613 -0.624
0.303 17.431 210.151 7168.267 4.000 0.525 0.001 -0.001 -0.045 -0.023 -5.809 -5.791 -16.306 -16.290 8.989 9.011 12.117 12.138 53.599 56.492 0.201 -0.205 -0.123 0.129 0.002 -0.046 -0.046 1.602 1.601 40.351 1.096 0.014 0.014 1.777 1.784 6.389 6.394 210.052 210.055 213.517 213.517 -0.001 -0.000 0.003 0.004 3838.034 3842.135 5886.397 5889.587 0.001 99.998 728.763 1529.974 1529.900 0.002 0.309 -2.261 2.431 -2.875 -2.873 -2.594 -2.593 -0.199 0.206 0.126 -0.126 3.812 -0.079 -0.078 4.266 4.265 -0.361 0.370 0.614 -0.631
0.377 21.779 211.519 7213.242 4.000 0.518 0.001 -0.001 0.008 0.003 -5.628 -5.626 -16.193 -16.190 9.215 9.218 12.259 12.262 53.333 56.314 0.204 -0.202 -0.125 0.126 0.000 -0.045 -0.045 1.581 1.581 40.440 1.096 0.014 0.014 1.824 1.825 6.448 6.449 211.423 211.423 214.863 214.863 0.002 0.002 0.001 0.001 3869.631 3870.244 5911.341 5912.054 0.000 100.002 723.600 1519.063 1519.319 0.003 0.333 -2.002 2.532 -2.879 -2.878 -2.597 -2.597 -0.203 0.202 0.126 -0.126 3.815 -0.078 -0.078 4.235 4.236 -0.368 0.363 0.626 -0.628
0.524 30.475 214.169 7300.224 4.000 0.503 0.004 -0.001 0.070 -0.068 -5.291 -5.263 -16.004 -15.973 9.636 9.671 12.496 12.534 52.794 55.974 0.209 -0.197 -0.120 0.128 0.002 -0.043 -0.043 1.541 1.538 40.623 1.095 0.014 0.014 1.904 1.920 6.549 6.569 214.072 214.079 217.467 217.467 0.001 0.001 0.001 0.002 3924.026 3935.250 5952.677 5962.603 0.002 100.001 713.051 1497.223 1497.154 0.004 0.378 -1.479 2.723 -2.889 -2.886 -2.606 -2.603 -0.209 0.197 0.125 -0.125 3.822 -0.076 -0.076 4.174 4.174 -0.379 0.352 0.623 -0.648
0.597 34.823 215.455 7342.529 4.000 0.497 0.004 -0.001 0.004 -0.057 -5.123 -5.087 -15.906 -15.869 9.846 9.892 12.617 12.663 52.530 55.806 0.206 -0.200 -0.118 0.129 0.004 -0.043 -0.043 1.523 1.521 40.712 1.094 0.014 0.014 1.946 1.962 6.606 6.624 215.359 215.365 218.734 218.734 -0.001 0.000 0.002 0.003 3952.972 3964.062 5975.838 5985.352 0.002 99.998 708.793 1488.202 1488.352 0.004 0.401 -1.221 2.818 -2.894 -2.890 -2.610 -2.606 -0.203 0.203 0.124 -0.124 3.826 -0.076 -0.075 4.149 4.149 -0.371 0.359 0.623 -0.656
0.669 39.160 216.711 7384.095 4.000 0.492 0.004 -0.001 0.028 -0.031 -4.952 -4.925 -15.798 -15.771 10.060 10.093 12.752 12.786 52.279 55.631 0.208 -0.199 -0.120 0.127 0.003 -0.042 -0.042 1.510 1.509 40.795 1.094 0.014 0.014 1.987 1.999 6.666 6.680 216.617 216.621 219.983 219.983 0.002 0.002 0.001 0.001 3980.985 3989.353 6000.908 6008.420 0.002 100.002 706.883 1483.931 1484.512 0.005 0.424 -0.973 2.915 -2.897 -2.895 -2.613 -2.610 -0.205 0.201 0.124 -0.124 3.829 -0.075 -0.075 4.137 4.138 -0.374 0.355 0.632 -0.655
0.812 47.837 219.182 7457.927 4.000 0.481 0.005 -0.001 0.036 -0.057 -4.649 -4.608 -15.598 -15.556 10.439 10.490 13.002 13.055 51.799 55.285 0.209 -0.197 -0.117 0.128 0.004 -0.041 -0.041 1.479 1.477 40.951 1.093 0.014 0.014 2.063 2.082 6.773 6.796 219.088 219.095 222.422 222.422 0.000 0.000 0.002 0.002 4032.826 4046.127 6045.117 6056.728 0.003 100.001 699.870 1468.106 1468.673 0.009 0.470 -0.508 3.110 -2.906 -2.902 -2.621 -2.617 -0.206 0.200 0.123 -0.122 3.834 -0.074 -0.074 4.094 4.096 -0.377 0.352 0.634 -0.669
0.884 52.176 220.375 7458.332 4.000 0.469 0.002 -0.001 -0.061 -0.011 -4.485 -4.451 -15.508 -15.475 10.643 10.686 13.115 13.156 51.541 55.145 0.202 -0.204 -0.117 0.127 0.005 -0.040 -0.040 1.448 1.448 41.042 1.092 0.014 0.014 2.115 2.125 6.823 6.832 220.285 220.287 223.566 223.566 -0.001 -0.001 0.003 0.003 4068.123 4075.362 6065.949 6071.814 0.002 99.997 692.366 1445.377 1446.226 0.014 0.490 -0.269 3.191 -2.910 -2.906 -2.623 -2.620 -0.198 0.208 0.122 -0.122 3.838 -0.073 -0.072 4.032 4.035 -0.362 0.366 0.642 -0.670
