xtime[s] xdist[m] speed[km/h] nmot[rpm] gear[n] accx[g] accy[g] accz[g] steer[deg] yaw[deg/s]     dam_fl[mm] dam_fr[mm] dam_rl[mm] dam_rr[mm]     Jounce_FL[mm] Jounce_FR[mm] Jounce_RL[mm] Jounce_RR[mm]     Ride_AxleFront[mm] Ride_AxleRear[mm]     SideSlipFL[deg] SideSlipFR[deg] SideSlipRL[deg] SideSlipRR[deg] SideSlipCG[deg]     slip_fl[pct] slip_fr[pct] slip_rl[pct] slip_rr[pct]     AeroBalance[pct] Cx[none]     pbrake_f[bar] pbrake_r[bar]     Load_FL_Ch1[kN] Load_FR_Ch1[kN] Load_RL_Ch1[kN] Load_RR_Ch1[kN]     vwheel_fl[km/h] vwheel_fr[km/h] vwheel_rl[km/h] vwheel_rr[km/h]     acc_fl[g] acc_fr[g] acc_rl[g] acc_rr[g]     Fz_fl[kN] Fz_fr[kN] Fz_rl[kN] Fz_rr[kN]     roll[deg]     aps[%] me_act[Nm] md_rl[Nm] md_rr[Nm]     damper_force_FC[kN] damper_force_RC[kN]     dam_3rd_front[mm] dam_3rd_rear[mm]     CamberFL[deg] CamberFR[deg] CamberRL[deg] CamberRR[deg]     ToeFL[deg] ToeFR[deg] ToeRL[deg] ToeRR[deg]     CLA[m2]     Fx_FL[kN] Fx_FR[kN] Fx_RL[kN] Fx_RR[kN]     Fy_FL[kN] Fy_FR[kN] Fy_RL[kN] Fy_RR[kN]     fl_LCA_front[N] fl_LCA_rear[N] fl_UCA_Front[N] fl_UCA_Rear[N] fl_TROD_Out[N] fl_PROD[N]     fr_LCA_front[N] fr_LCA_rear[N] fr_UCA_Front[N] fr_UCA_Rear[N] fr_TROD_Out[N] fr_PROD[N]     rl_LCA_front[N] rl_LCA_rear[N] rl_UCA_Front[N] rl_UCA_Rear[N] rl_TROD_Out[N] rl_PROD[N]     rr_LCA_front[N] rr_LCA_rear[N] rr_UCA_Front[N] rr_UCA_Rear[N] rr_TROD_Out[N] rr_PROD[N]
0.000 0.000 205.206 7005.627 4.000 0.476 -0.022 -0.003 -0.299 0.259 -18.715 -18.923 -29.798 -30.004 9.106 8.846 9.003 8.745 60.367 68.937 0.300 -0.374 -0.195 0.142 -0.020 -0.050 -0.051 1.676 1.690 38.284 1.128 0.014 0.014 0.541 0.450 5.136 5.008 205.113 205.083 208.657 208.660 1.695 1.696 1.190 1.190 2973.613 2909.718 5257.547 5192.271 -0.014 99.995 742.774 1510.702 1505.195 0.001 0.000 -8.289 -16.026 -2.752 -2.770 -2.626 -2.647 -0.312 0.362 0.169 -0.169 3.782 -0.066 -0.065 3.919 3.896 -0.506 0.618 0.693 -0.548 -2931.703 -3107.216 442.479 510.752 739.494 541.339 -3005.129 -3169.375 478.572 533.418 762.790 450.188 -5485.438 -12142.840 4026.286 5644.302 -1316.735 5136.072 -5486.730 -12244.635 3965.764 5748.223 -1314.911 5007.573
0.076 4.358 206.687 7054.637 4.000 0.548 -0.023 -0.000 -0.181 0.220 -18.520 -18.730 -29.647 -29.851 9.350 9.088 9.191 8.937 60.078 68.694 0.308 -0.367 -0.195 0.142 -0.021 -0.049 -0.050 1.658 1.669 38.367 1.127 0.014 0.014 1.614 1.539 6.487 6.385 206.593 206.567 210.124 210.126 0.001 0.001 0.000 -0.000 3666.532 3612.327 5815.183 5760.081 -0.013 100.002 739.236 1554.279 1548.667 0.001 0.000 -7.999 -15.883 -2.756 -2.775 -2.631 -2.651 -0.322 0.352 0.169 -0.169 3.785 -0.080 -0.080 4.332 4.316 -0.578 0.688 0.805 -0.651 -3630.857 -3858.801 505.113 612.256 941.720 1614.425 -3710.945 -3929.250 539.249 635.930 968.776 1538.803 -6108.162 -13469.562 4457.168 6285.354 -1484.073 6486.691 -6127.992 -13615.257 4400.997 6416.443 -1486.281 6385.010
0.227 13.073 209.568 7149.691 4.000 0.534 -0.019 -0.000 -0.167 0.158 -18.150 -18.321 -29.372 -29.538 9.812 9.598 9.535 9.328 59.497 68.225 0.311 -0.363 -0.189 0.148 -0.016 -0.048 -0.048 1.619 1.628 38.536 1.126 0.014 0.014 1.690 1.630 6.604 6.521 209.473 209.454 212.969 212.971 -0.001 -0.000 0.001 0.001 3718.218 3674.628 5862.701 5818.193 -0.011 100.001 730.783 1536.433 1531.438 0.001 0.000 -7.417 -15.605 -2.768 -2.783 -2.643 -2.659 -0.323 0.351 0.169 -0.169 3.791 -0.079 -0.079 4.283 4.269 -0.588 0.686 0.802 -0.681 -3687.131 -3920.939 507.977 619.594 964.318 1690.467 -3763.294 -3989.058 538.682 641.107 990.189 1630.101 -6206.185 -13596.391 4406.452 6379.582 -1451.192 6603.627 -6220.727 -13707.562 4360.721 6481.481 -1452.345 6520.694
0.302 17.431 210.966 7195.641 4.000 0.527 -0.021 -0.000 -0.268 0.205 -17.955 -18.124 -29.230 -29.399 10.056 9.845 9.712 9.501 59.202 68.001 0.305 -0.369 -0.189 0.148 -0.015 -0.047 -0.047 1.597 1.607 38.624 1.125 0.014 0.014 1.736 1.670 6.669 6.576 210.874 210.851 214.344 214.346 -0.002 -0.001 0.001 0.002 3749.587 3701.461 5889.893 5841.300 -0.011 99.999 725.656 1525.420 1521.154 0.001 0.000 -7.124 -15.472 -2.773 -2.787 -2.647 -2.665 -0.314 0.359 0.169 -0.169 3.794 -0.079 -0.078 4.252 4.240 -0.578 0.700 0.809 -0.688 -3702.995 -3941.351 504.680 620.306 971.575 1736.194 -3802.269 -4030.374 542.952 646.539 1005.349 1669.733 -6257.963 -13651.361 4377.931 6421.678 -1431.270 6668.571 -6265.330 -13753.044 4334.025 6517.191 -1433.749 6575.753
0.375 21.779 212.335 7240.553 4.000 0.519 -0.019 -0.000 -0.143 0.178 -17.756 -17.928 -29.095 -29.262 10.304 10.090 9.881 9.673 58.906 67.784 0.314 -0.360 -0.189 0.148 -0.016 -0.046 -0.047 1.576 1.585 38.714 1.124 0.014 0.014 1.777 1.715 6.722 6.639 212.242 212.221 215.689 215.691 0.001 0.001 0.000 -0.001 3776.907 3732.638 5912.458 5867.598 -0.011 100.002 720.302 1514.203 1510.086 0.001 0.000 -6.829 -15.343 -2.777 -2.792 -2.652 -2.669 -0.325 0.349 0.169 -0.169 3.798 -0.077 -0.077 4.221 4.210 -0.596 0.686 0.817 -0.693 -3747.670 -3988.364 510.496 626.912 988.631 1776.778 -3813.069 -4045.964 538.092 646.218 1011.128 1714.911 -6302.048 -13691.615 4349.197 6454.623 -1411.077 6721.990 -6316.972 -13809.092 4304.773 6560.675 -1414.112 6638.848
0.522 30.475 214.979 7327.302 4.000 0.504 -0.016 -0.000 -0.128 0.125 -17.371 -17.511 -28.850 -28.986 10.787 10.611 10.188 10.018 58.306 67.368 0.316 -0.357 -0.185 0.152 -0.013 -0.045 -0.045 1.536 1.543 38.900 1.123 0.014 0.014 1.856 1.806 6.827 6.760 214.886 214.871 218.286 218.288 -0.001 -0.000 0.001 0.001 3830.784 3795.261 5955.575 5919.254 -0.009 100.001 710.006 1492.538 1488.731 0.001 0.000 -6.229 -15.097 -2.788 -2.800 -2.663 -2.676 -0.326 0.347 0.169 -0.169 3.805 -0.076 -0.076 4.161 4.150 -0.604 0.685 0.817 -0.718 -3804.033 -4050.994 512.599 633.926 1011.824 1855.671 -3866.439 -4106.954 537.449 651.570 1033.375 1806.396 -6396.755 -13797.857 4288.958 6539.798 -1372.925 6827.356 -6408.311 -13889.312 4252.174 6623.745 -1374.804 6759.575
0.595 34.822 216.264 7369.755 4.000 0.499 -0.018 -0.000 -0.214 0.163 -17.176 -17.315 -28.715 -28.854 11.030 10.856 10.356 10.183 58.017 67.154 0.311 -0.362 -0.185 0.153 -0.012 -0.044 -0.044 1.521 1.529 38.988 1.122 0.014 0.014 1.898 1.843 6.891 6.814 216.173 216.155 219.560 219.561 -0.001 -0.000 0.001 0.002 3859.793 3820.253 5981.993 5942.059 -0.009 99.998 707.422 1486.798 1483.521 0.001 0.000 -5.936 -14.971 -2.793 -2.805 -2.667 -2.681 -0.318 0.354 0.169 -0.169 3.809 -0.076 -0.075 4.144 4.135 -0.595 0.696 0.824 -0.725 -3819.369 -4070.208 509.572 634.847 1018.775 1897.741 -3901.861 -4144.358 540.939 656.596 1047.301 1843.010 -6441.389 -13854.999 4273.475 6578.509 -1360.431 6890.793 -6446.566 -13937.366 4238.107 6656.384 -1363.252 6814.211
0.667 39.160 217.523 7411.033 4.000 0.495 -0.015 -0.000 -0.096 0.136 -16.989 -17.131 -28.577 -28.713 11.264 11.087 10.529 10.358 57.744 66.930 0.319 -0.354 -0.185 0.152 -0.014 -0.043 -0.044 1.509 1.516 39.067 1.122 0.014 0.014 1.932 1.882 6.948 6.881 217.432 217.416 220.812 220.813 0.001 0.001 -0.000 -0.001 3882.933 3847.302 6005.792 5969.659 -0.009 100.002 705.617 1483.016 1479.755 0.001 0.000 -5.658 -14.840 -2.797 -2.810 -2.672 -2.685 -0.328 0.344 0.169 -0.169 3.812 -0.075 -0.075 4.134 4.125 -0.612 0.682 0.832 -0.730 -3859.490 -4111.812 514.836 641.056 1034.125 1931.845 -3909.365 -4155.736 536.031 656.136 1051.605 1881.925 -6478.063 -13904.412 4264.354 6609.805 -1351.121 6947.670 -6490.708 -14001.483 4228.299 6697.450 -1354.160 6880.794
0.809 47.837 219.985 7465.551 4.000 0.478 -0.011 -0.000 -0.065 0.065 -16.640 -16.741 -28.341 -28.437 11.699 11.573 10.824 10.704 57.185 66.525 0.323 -0.350 -0.180 0.158 -0.010 -0.042 -0.042 1.467 1.471 39.238 1.121 0.014 0.014 2.006 1.974 7.042 6.996 219.893 219.885 223.216 223.217 -0.001 -0.002 0.002 0.001 3933.790 3910.123 6044.126 6019.740 -0.006 100.001 694.873 1455.895 1452.932 0.001 0.000 -5.107 -14.598 -2.808 -2.817 -2.683 -2.692 -0.331 0.342 0.169 -0.169 3.818 -0.073 -0.073 4.061 4.052 -0.624 0.677 0.828 -0.759 -3917.182 -4175.557 517.802 648.475 1058.117 2006.436 -3958.032 -4212.488 533.956 660.291 1072.467 1973.642 -6573.652 -14003.024 4191.040 6695.916 -1307.084 7041.763 -6583.026 -14067.474 4164.756 6755.335 -1308.157 6996.498
0.880 52.176 221.160 7392.809 4.000 0.461 -0.012 -0.000 -0.147 0.096 -16.437 -16.529 -28.247 -28.339 11.954 11.838 10.941 10.826 56.859 66.379 0.319 -0.354 -0.179 0.159 -0.008 -0.040 -0.040 1.427 1.432 39.352 1.120 0.014 0.014 2.060 2.025 7.079 7.028 221.072 221.061 224.320 224.321 -0.002 -0.002 0.002 0.002 3970.628 3944.681 6060.245 6033.968 -0.006 99.998 689.226 1423.347 1421.145 0.001 0.000 -4.796 -14.507 -2.814 -2.822 -2.686 -2.695 -0.324 0.349 0.169 -0.169 3.823 -0.072 -0.071 3.972 3.966 -0.616 0.688 0.831 -0.768 -3940.449 -4204.906 515.143 649.742 1069.104 2060.332 -4000.130 -4259.010 537.056 665.156 1090.047 2024.520 -6637.362 -14020.751 4107.079 6736.820 -1258.226 7079.236 -6639.446 -14070.902 4084.209 6785.545 -1260.260 7028.331
